,Showdown,Url_link,movie_name,Genre,Production_budget,Rating,Running_time,Foreign_gross,Domestic_gross,Relase_date,Closing_date,Distributor
0,12 Years of Nancy Meyers,https://www.boxofficemojo.com/showdown/sd943519236/?ref_=bo_shs_sd,"['The Intern', ""It's Complicated"", 'The Holiday', ""Something's Gotta Give""]","['Comedy', 'RomanticComedy', 'RomanticComedyChristmas', 'RomanticComedyWomanizer']","['$35,000,000', '$85,000,000', '$85,000,000', '$80,000,000']","['PG-13', 'R', 'PG-13', 'PG-13']","['2 hr 1 min', '2 hr 1 min', '2 hr 16 min', '2 hr 8 min']","['$118,800,000', '$106,368,280', '$142,617,036', '$140,600,000']","['$118,800,000', '$106,368,280', '$142,617,036', '$140,600,000']","['Sep 25, 2015', 'Dec 25, 2009', 'Dec 8, 2006', 'Dec 12, 2003']","['Jan 7, 2016', 'Apr 1, 2010', 'Jan 28, 2007', 'Apr 29, 2004']","['Warner Bros.\n\n', 'Universal Pictures\n\n', 'Sony Pictures Releasing\n\n', 'Sony Pictures Releasing\n\n']"
1,2011 Winter/Spring Thrills,https://www.boxofficemojo.com/showdown/sd3762157060/?ref_=bo_shs_sd,"['Unknown', 'The Adjustment Bureau', 'Limitless', 'The Lincoln Lawyer', 'Source Code']","['DramaAmnesiaThriller', 'PoliticalCampaignThrillerScienceFictionPolitics', 'ActionThriller', 'DramaCrime', 'ThrillerSurrealTimeTravel']","['$30,000,000', '$50,200,000', '$27,000,000', '$40,000,000', '$32,000,000']","['PG-13', 'PG-13', 'PG-13', 'R', 'PG-13']","['1 hr 53 min', '1 hr 46 min', '1 hr 45 min', '1 hr 58 min', '1 hr 33 min']","['$72,023,632', '$65,373,734', '$82,600,000', '$28,743,152', '$92,620,470']","['$72,023,632', '$65,373,734', '$82,600,000', '$28,743,152', '$92,620,470']","['Feb 18, 2011', 'Mar 4, 2011', 'Mar 18, 2011', 'Mar 18, 2011', 'Apr 1, 2011']","['May 12, 2011', 'May 26, 2011', 'Jul 7, 2011', 'Jul 21, 2011', 'Jul 14, 2011']","['Warner Bros.\n\n', 'Universal Pictures\n\n', 'Relativity Media\n\n', 'Lionsgate Films\n\n', 'Summit Entertainment (pre Lionsgate)\n\n']"
2,'2012' Vs. 'Interstellar',https://www.boxofficemojo.com/showdown/sd4080858628/?ref_=bo_shs_sd,"['2012', 'Interstellar']","['DramaActionNearFutureDisaster', 'OuterSpaceExplorationNearFutureIMAXScienceFiction']","['$200,000,000', '$165,000,000']","['PG-13', 'PG-13']","['2 hr 38 min', '2 hr 49 min']","['$603,567,306', '$489,876,780']","['$603,567,306', '$489,876,780']","['Nov 13, 2009', 'Nov 5, 2014']","['Feb 25, 2010', 'Mar 19, 2015']","['Sony Pictures Releasing\n\n', 'Paramount Pictures\n\n']"
3,2014 Superhero Showdown,https://www.boxofficemojo.com/showdown/sd2604463620/?ref_=bo_shs_sd,"['Captain America: The Winter Soldier', 'The Amazing Spider-Man 2', 'X-Men: Days of Future Past', 'Guardians of the Galaxy']","['ComicBookAdaptationChaseSuperheroThriller3DIMAXPolitics', 'ComicBookAdaptationAdventureSuperhero3DIMAX', 'ComicBookAdaptationAdventureSuperhero3DRobotTimeTravel1970s', 'ComicBookAdaptationAdventureSuperhero3DOriginStoryIMAXScienceFiction']","['$170,000,000', '$200,000,000', '$170,000,000']","['PG-13', 'PG-13', 'PG-13', 'PG-13']","['2 hr 16 min', '2 hr 22 min', '2 hr 12 min', '2 hr 1 min']","['$454,654,931', '$506,128,390', '$512,124,166', '$439,600,000']","['$454,654,931', '$506,128,390', '$512,124,166', '$439,600,000']","['Apr 4, 2014', 'May 2, 2014', 'May 23, 2014', 'Aug 1, 2014']","['Aug 21, 2014', 'Aug 17, 2014', 'Oct 9, 2014', 'Jan 22, 2015']","['Walt Disney Studios Motion Pictures\n\n', 'Sony Pictures Releasing\n\n', '20th Century Fox Film Corporation\n\n', 'Walt Disney Studios Motion Pictures\n\n']"
4,2015 Domestic Underperformers,https://www.boxofficemojo.com/showdown/sd1044182532/?ref_=bo_shs_sd,"['Pan', 'Tomorrowland', 'Jupiter Ascending', 'Fantastic Four', 'Terminator Genisys']","['Pirate3DIMAXFantasy', 'AdventureIMAXScienceFiction', 'Chase3DIMAXScienceFiction', 'ComicBookAdaptationAdventureSuperhero', 'Action3DIMAXRobotTimeTravel']","['$150,000,000', '$190,000,000', '$176,000,000', '$120,000,000', '$155,000,000']","['PG', 'PG', 'PG-13', 'PG-13', 'PG-13']","['1 hr 51 min', '2 hr 10 min', '2 hr 7 min', '1 hr 40 min', '2 hr 6 min']","['$93,300,000', '$115,599,346', '$136,500,000', '$111,765,333', '$350,842,581']","['$93,300,000', '$115,599,346', '$136,500,000', '$111,765,333', '$350,842,581']","['Oct 9, 2015', 'May 22, 2015', 'Feb 6, 2015', 'Aug 7, 2015', 'Jul 1, 2015']","['Jan 7, 2016', 'Sep 17, 2015', 'May 7, 2015', 'Oct 22, 2015', 'Sep 17, 2015']","['Warner Bros.\n\n', 'Walt Disney Studios Motion Pictures\n\n', 'Warner Bros.\n\n', '20th Century Fox Film Corporation\n\n', 'Paramount Pictures\n\n']"
5,2016 Superhero Openers,https://www.boxofficemojo.com/showdown/sd2050815492/?ref_=bo_shs_sd,"['Suicide Squad', 'Batman v Superman: Dawn of Justice', 'Deadpool', 'Captain America: Civil War', 'X-Men: Apocalypse', 'Doctor Strange']","['ComicBookAdaptationAdventureSuperhero3DOriginStoryIMAX', 'ComicBookAdaptationAdventureSuperhero3DIMAX', 'ComicBookAdaptationComedySuperheroOriginStoryIMAXRevenge', 'ComicBookAdaptationAdventureSuperhero3DIMAX', 'ComicBookAdaptationAdventureSuperhero3D', 'ComicBookAdaptationAdventureSuperhero3DOriginStoryIMAXFantasy']","['$175,000,000', '$250,000,000', '$58,000,000', '$250,000,000', '$178,000,000', '$165,000,000']","['PG-13', 'R', 'R', 'PG-13', 'PG-13', 'PG-13']","['2 hr 3 min', '2 hr 31 min', '1 hr 48 min', '2 hr 27 min', '2 hr 24 min', '1 hr 55 min']","['$421,746,840', '$543,274,725', '$419,541,446', '$745,211,944', '$388,491,616', '$445,076,475']","['$421,746,840', '$543,274,725', '$419,541,446', '$745,211,944', '$388,491,616', '$445,076,475']","['Aug 5, 2016', 'Mar 25, 2016', 'Feb 12, 2016', 'May 6, 2016', 'May 27, 2016', 'Nov 4, 2016']","['Nov 10, 2016', 'Jun 16, 2016', 'Jun 16, 2016', 'Sep 22, 2016', 'Jul 28, 2016', 'Mar 16, 2017']","['Warner Bros.\n\n', 'Warner Bros.\n\n', '20th Century Fox Film Corporation\n\n', 'Walt Disney Studios Motion Pictures\n\n', '20th Century Fox Film Corporation\n\n', 'Walt Disney Studios Motion Pictures\n\n']"
6,2016 Superhero Showdown,https://www.boxofficemojo.com/showdown/sd305985028/?ref_=bo_shs_sd,"['Batman v Superman: Dawn of Justice', 'Captain America: Civil War', 'Deadpool', 'X-Men: Apocalypse', 'Suicide Squad', 'Doctor Strange']","['ComicBookAdaptationAdventureSuperhero3DIMAX', 'ComicBookAdaptationAdventureSuperhero3DIMAX', 'ComicBookAdaptationComedySuperheroOriginStoryIMAXRevenge', 'ComicBookAdaptationAdventureSuperhero3D', 'ComicBookAdaptationAdventureSuperhero3DOriginStoryIMAX', 'ComicBookAdaptationAdventureSuperhero3DOriginStoryIMAXFantasy']","['$250,000,000', '$250,000,000', '$58,000,000', '$178,000,000', '$175,000,000', '$165,000,000']","['R', 'PG-13', 'R', 'PG-13', 'PG-13', 'PG-13']","['2 hr 31 min', '2 hr 27 min', '1 hr 48 min', '2 hr 24 min', '2 hr 3 min', '1 hr 55 min']","['$543,274,725', '$745,211,944', '$419,541,446', '$388,491,616', '$421,746,840', '$445,076,475']","['$543,274,725', '$745,211,944', '$419,541,446', '$388,491,616', '$421,746,840', '$445,076,475']","['Mar 25, 2016', 'May 6, 2016', 'Feb 12, 2016', 'May 27, 2016', 'Aug 5, 2016', 'Nov 4, 2016']","['Jun 16, 2016', 'Sep 22, 2016', 'Jun 16, 2016', 'Jul 28, 2016', 'Nov 10, 2016', 'Mar 16, 2017']","['Warner Bros.\n\n', 'Walt Disney Studios Motion Pictures\n\n', '20th Century Fox Film Corporation\n\n', '20th Century Fox Film Corporation\n\n', 'Warner Bros.\n\n', 'Walt Disney Studios Motion Pictures\n\n']"
7,2017 Cars Showdown,https://www.boxofficemojo.com/showdown/sd3124491780/?ref_=bo_shs_sd,"['Cars 3', 'Cars 2']","['CGIAnimationCarRacing3DIMAX', 'CGIAnimationComedyCarRacing3DIMAXSpy']","['$200,000,000']","['G', 'G']","['1 hr 42 min', '1 hr 46 min']","['$231,029,541', '$368,400,000']","['$231,029,541', '$368,400,000']","['Jun 16, 2017', 'Jun 24, 2011']","['Nov 2, 2017', 'Dec 15, 2011']","['Walt Disney Studios Motion Pictures\n\n', 'Walt Disney Studios Motion Pictures\n\n']"
8,2017 Superhero Summer Slam,https://www.boxofficemojo.com/showdown/sd3141268996/?ref_=bo_shs_sd,"['Wonder Woman', 'Guardians of the Galaxy Vol. 2', 'Spider-Man: Homecoming']","['ComicBookAdaptationAdventureSuperheroWarHeroine3DOriginStoryIMAXWorldWarI', 'ComicBookAdaptationAdventureSuperhero3DIMAXScienceFiction', 'ComicBookAdaptationComedyAdventureSuperhero3DIMAXHighSchool']","['$149,000,000', '$200,000,000', '$175,000,000']","['PG-13', 'PG-13', 'PG-13']","['2 hr 21 min', '2 hr 16 min', '2 hr 13 min']","['$409,283,604', '$473,942,950', '$545,965,784']","['$409,283,604', '$473,942,950', '$545,965,784']","['Jun 2, 2017', 'May 5, 2017', 'Jul 7, 2017']","['Nov 9, 2017', 'Sep 21, 2017', 'Nov 30, 2017']","['Warner Bros.\n\n', 'Walt Disney Studios Motion Pictures\n\n', 'Sony Pictures Releasing\n\n']"
9,3D Concert Clash,https://www.boxofficemojo.com/showdown/sd4064146948/?ref_=bo_shs_sd,"['Hannah Montana and Miley Cyrus: Best of Both Worlds Concert', 'Jonas Brothers: The 3D Concert Experience', 'This Is It', 'Justin Bieber: Never Say Never', 'One Direction: This Is Us', 'Part of Me']","['ContemporaryMusicalConcert3DTVShowAdaptationChildren', 'ContemporaryMusicalConcertMusic3D', 'DocumentaryContemporaryMusicalConcertIMAX', 'DocumentaryContemporaryMusicalConcert3D', 'DocumentaryContemporaryMusicalConcert3D', 'DocumentaryContemporaryMusicalConcert3D']","['$13,000,000', '$10,000,000', '$12,000,000']","['G', '', 'PG', '', 'PG', 'PG']","['1 hr 14 min', '1 hr 16 min', '1 hr 51 min', '1 hr 45 min', '1 hr 32 min', '1 hr 33 min']","['$5,361,185', '$4,024,220', '$189,092,572', '$26,022,917', '$39,659,524', '$7,400,885']","['$5,361,185', '$4,024,220', '$189,092,572', '$26,022,917', '$39,659,524', '$7,400,885']","['Feb 1, 2008', 'Feb 27, 2009', 'Oct 28, 2009', 'Feb 11, 2011', 'Aug 30, 2013', 'Jul 5, 2012']","['May 15, 2008', 'Apr 2, 2009', 'Dec 3, 2009', 'May 12, 2011', 'Oct 6, 2013', 'Aug 30, 2012']","['Walt Disney Studios Motion Pictures\n\n', 'Walt Disney Studios Motion Pictures\n\n', 'Sony Pictures Releasing\n\n', 'Paramount Pictures\n\n', 'TriStar Pictures\n\n', 'Paramount Pictures\n\n']"
